clu.sa2,size,sa1_ratio,AllenAnnot,AllenAnnot_quality,AllenAnnot_ratio,L3Annot,L3Annot_quality,L3Annot_ratio,L2Annot,L2Annot_quality,L2Annot_ratio,class,class_quality,class_ratio,mainclass,mainclass_quality,mainclass_ratio
4-1-1,41500,0.95,L2-3_IT_CTX_Glut,high,0.99,ITL23GL1,low,0.35,ITL23GL,high,0.99,Glut,high,1,GLUT,high,1
4-1-3,12121,0.95,L2-3_IT_CTX_Glut,high,0.99,ITL23GL11,low,0.34,ITL23GL,high,0.99,Glut,high,1,GLUT,high,1
4-1-4,10322,0.96,L2-3_IT_CTX_Glut,high,0.8,ITL23GL4,medium,0.63,ITL23GL,high,0.8,Glut,high,1,GLUT,high,1
4-1-2,12705,0.96,L2-3_IT_CTX_Glut,high,0.8,ITL23GL3,high,0.73,ITL23GL,high,0.8,Glut,high,1,GLUT,high,1
4-1-5,787,0.91,L6_CT_CTX_Glut,medium,0.6,CTGL9,medium,0.6,CTL6GL,medium,0.6,Glut,high,1,GLUT,high,1
4-2-2,8469,0.95,L2-3_IT_CTX_Glut,high,1,ITL23GL5,high,0.92,ITL23GL,high,1,Glut,high,1,GLUT,high,1
4-2-1,9631,0.96,L2-3_IT_CTX_Glut,high,0.98,ITL23GL2,high,0.81,ITL23GL,high,0.98,Glut,high,1,GLUT,high,1
4-3-4,3358,0.95,L2-3_IT_CTX_Glut,high,1,ITL23GL13,medium,0.68,ITL23GL,high,1,Glut,high,1,GLUT,high,1
4-3-2,3967,0.88,L2-3_IT_CTX_Glut,high,0.96,ITL23GL9,medium,0.55,ITL23GL,high,0.96,Glut,high,1,GLUT,high,1
4-3-1,4830,0.93,L2-3_IT_CTX_Glut,high,0.99,ITL23GL7,high,0.95,ITL23GL,high,0.99,Glut,high,1,GLUT,high,1
4-3-3,4078,0.97,L2-3_IT_CTX_Glut,high,0.99,ITL23GL7,medium,0.5,ITL23GL,high,0.99,Glut,high,1,GLUT,high,1
4-3-5,1013,0.91,L2-3_IT_CTX_Glut,high,0.98,ITL23GL7,high,0.98,ITL23GL,high,0.98,Glut,high,1,GLUT,high,1
4-4-2,6254,0.93,L2-3_IT_CTX_Glut,high,0.97,ITL23GL2,medium,0.53,ITL23GL,high,0.97,Glut,high,1,GLUT,high,1
4-4-1,8345,0.96,L2-3_IT_CTX_Glut,high,0.91,ITL23GL6,high,0.87,ITL23GL,high,0.91,Glut,high,1,GLUT,high,1
4-4-4,253,0.96,L2-3_IT_CTX_Glut,high,0.84,ITL23GL6,high,0.83,ITL23GL,high,0.84,Glut,high,1,GLUT,high,1
4-4-3,374,0.95,L2-3_IT_CTX_Glut,high,0.89,ITL23GL6,medium,0.47,ITL23GL,high,0.89,Glut,high,1,GLUT,high,1
5-1-2,13933,0.92,L4-5_IT_CTX_Glut,high,0.91,ITL5GL1,high,0.84,ITL46GL,high,0.93,Glut,high,1,GLUT,high,1
5-1-1,16392,0.96,L4-5_IT_CTX_Glut,high,0.95,ITL5GL6,medium,0.41,ITL46GL,high,0.92,Glut,high,1,GLUT,high,1
5-1-3,11347,0.95,L4-5_IT_CTX_Glut,high,0.96,ITL5GL3,medium,0.59,ITL46GL,high,0.95,Glut,high,1,GLUT,high,1
5-1-5,6653,0.89,L4-5_IT_CTX_Glut,high,0.95,ITL5GL4,high,0.91,ITL46GL,high,0.94,Glut,high,1,GLUT,high,1
5-1-4,9782,0.95,L4-5_IT_CTX_Glut,high,0.98,ITL5GL5,high,0.75,ITL46GL,high,0.86,Glut,high,1,GLUT,high,1
5-2-2,15473,0.96,L4-5_IT_CTX_Glut,high,0.99,ITL4GL2,high,0.73,ITL45GL,high,0.85,Glut,high,1,GLUT,high,1
5-2-1,17010,0.95,L4-5_IT_CTX_Glut,high,1,ITL4GL1,high,0.83,ITL45GL,high,0.99,Glut,high,1,GLUT,high,1
5-2-3,7242,0.97,L4-5_IT_CTX_Glut,high,0.99,ITL4GL3,high,0.7,ITL45GL,high,0.98,Glut,high,1,GLUT,high,1
5-2-4,4164,0.96,L4-5_IT_CTX_Glut,high,0.98,ITL4GL4,high,0.86,ITL45GL,high,0.95,Glut,high,1,GLUT,high,1
5-3-2,2827,0.94,L5_IT_CTX_Glut,high,0.82,RSPGL2,medium,0.44,ITL5GL,high,0.81,Glut,high,1,GLUT,high,1
5-3-1,6278,0.97,L5_IT_CTX_Glut,high,0.99,RSPGL1,low,0.36,ITL5GL,high,0.99,Glut,high,1,GLUT,high,1
5-3-3,242,0.95,L5_IT_CTX_Glut,medium,0.6,ITL6GL1,low,0.14,ITL5GL,medium,0.46,Glut,high,1,GLUT,high,1
5-4-1,1820,0.93,L4_RSP-ACA_Glut,high,1,RSPACAL4GL1,high,1,RSPL4GL,high,1,Glut,high,1,GLUT,high,1
5-4-2,886,0.95,L4_RSP-ACA_Glut,high,0.98,RSPACAL4GL1,high,0.98,RSPL4GL,high,0.98,Glut,high,1,GLUT,high,1
6-1-2,14520,0.98,Astro-NT_NN,high,1,ASCNT3,medium,0.6,ASCNT,high,0.99,NN,high,1,NN,high,1
6-1-1,19587,0.96,Astro-NT_NN,high,1,ASCNT2,medium,0.47,ASCNT,high,0.96,NN,high,1,NN,high,1
6-10-1,465,0.98,Bergmann_NN,high,0.95,ASCNT10,high,0.92,ASCTENT,high,0.93,NN,high,1,NN,high,1
6-10-2,192,0.99,Bergmann_NN,high,0.99,ASCNT10,high,0.99,ASCTENT,high,0.99,NN,high,1,NN,high,1
6-10-3,147,0.93,Bergmann_NN,high,0.98,ASCNT10,high,0.98,ASCTENT,high,0.99,NN,high,1,NN,high,1
6-10-4,85,0.98,Bergmann_NN,high,0.85,ASCNT10,high,0.81,ASCTENT,high,0.82,NN,high,0.99,NN,high,0.99
6-2-3,5650,0.99,Astro-NT_NN,high,1,ASCNT1,high,0.82,ASCNT,high,0.99,NN,high,1,NN,high,1
6-2-2,11048,0.96,Astro-NT_NN,high,0.98,ASCNT2,medium,0.44,ASCNT,high,0.95,NN,high,1,NN,high,1
6-2-1,15284,0.99,Astro-NT_NN,high,0.99,ASCNT1,high,0.78,ASCNT,high,0.98,NN,high,1,NN,high,1
6-3-1,12314,0.94,Astro-NT_NN,high,1,ASCNT4,medium,0.6,ASCNT,high,0.96,NN,high,1,NN,high,1
6-3-3,602,0.99,Astro-NT_NN,high,0.99,ASCNT4,medium,0.59,ASCNT,high,0.96,NN,high,1,NN,high,1
6-3-2,4768,0.98,Astro-NT_NN,high,0.97,ASCNT4,high,0.9,ASCNT,high,0.94,NN,high,1,NN,high,1
6-4-2,6388,0.99,Astro-NT_NN,high,0.99,ASCNT5,medium,0.69,ASCNT,high,0.98,NN,high,1,NN,high,1
6-4-1,7290,0.99,Astro-NT_NN,high,1,ASCNT5,high,0.71,ASCNT,high,0.98,NN,high,1,NN,high,1
6-5-1,2601,0.92,Astro-NT_NN,high,0.94,ASCNT7,high,0.82,ASCTENT,high,0.93,NN,high,1,NN,high,1
6-5-2,1056,0.92,Astro-NT_NN,high,0.82,ASCNT9,medium,0.62,ASCTENT,medium,0.68,NN,high,1,NN,high,1
6-5-5,73,0.82,Tanycyte_NN,medium,0.7,TANY4,medium,0.7,EPTANN,medium,0.7,NN,high,0.97,NN,high,0.97
6-5-4,83,0.9,Ependymal_NN,high,0.93,EPEN6,high,0.93,EPTANN,high,0.93,NN,high,0.94,NN,high,0.94
6-5-3,179,0.93,Astro-NT_NN,high,0.97,ASCNT9,high,0.97,ASCTENT,high,0.97,NN,high,1,NN,high,1
6-6-1,1182,0.72,Ependymal_NN,high,0.99,EPEN1,high,0.95,EPTANN,high,1,NN,high,1,NN,high,1
6-6-2,1006,0.82,Ependymal_NN,high,1,EPEN2,high,0.79,EPTANN,high,1,NN,high,1,NN,high,1
6-6-4,97,0.84,Ependymal_NN,high,0.96,EPEN4,high,0.93,EPTANN,high,0.97,NN,high,1,NN,high,1
6-6-3,195,0.97,Ependymal_NN,high,1,EPEN3,high,0.99,EPTANN,high,1,NN,high,1,NN,high,1
6-7-4,27,0.23,Tanycyte_NN,medium,0.59,TANY2,medium,0.52,EPTANN,medium,0.59,NN,high,1,NN,high,1
6-7-2,480,0.97,Tanycyte_NN,high,0.85,TANY2,high,0.71,EPTANN,high,0.97,NN,high,1,NN,high,1
6-7-5,71,0.96,Tanycyte_NN,high,0.97,TANY2,high,0.97,EPTANN,high,0.97,NN,high,1,NN,high,1
6-7-1,682,0.96,Tanycyte_NN,high,0.96,TANY1,high,0.88,EPTANN,high,0.97,NN,high,1,NN,high,1
6-7-3,283,0.96,Tanycyte_NN,high,0.98,TANY3,high,0.9,EPTANN,high,0.98,NN,high,1,NN,high,1
6-7-6,63,0.86,Tanycyte_NN,high,0.92,TANY2,high,0.81,EPTANN,high,0.95,NN,high,1,NN,high,1
6-8-2,142,0.97,Bergmann_NN,high,0.99,BERG1,high,0.99,BERG,high,0.99,NN,high,1,NN,high,1
6-8-1,1491,0.99,Bergmann_NN,high,1,BERG1,high,0.99,BERG,high,0.99,NN,high,1,NN,high,1
6-9-1,287,0.75,CHOR_NN,high,0.98,CHOR1,high,0.98,CHOR,high,0.98,NN,high,1,NN,high,1
6-9-2,283,0.87,CHOR_NN,high,1,CHOR1,high,1,CHOR,high,1,NN,high,1,NN,high,1
6-9-3,231,0.72,CHOR_NN,high,0.99,CHOR1,high,0.99,CHOR,high,0.99,NN,high,0.99,NN,high,0.99
7-1-1,12131,0.94,L2-3_IT_ENTl-PIR_Glut,high,0.98,OLFGL2,medium,0.54,ITENTPIRGL1,high,1,Glut,high,1,GLUT,high,1
7-1-2,8905,0.94,L2-3_IT_ENTl-PIR_Glut,high,0.96,OLFGL1,high,0.77,ITENTPIRGL1,high,1,Glut,high,1,GLUT,high,1
7-10-1,564,0.95,L2-3_IT_ENTl-PIR_Glut,high,0.77,OLFGL14,high,0.73,ITENTPIRGL1,high,0.76,Glut,high,1,GLUT,high,1
7-10-3,136,0.96,L2-3_IT_ENTl-PIR_Glut,high,0.99,OLFGL7,medium,0.65,ITENTPIRGL1,high,0.95,Glut,high,1,GLUT,high,1
7-10-2,293,0.96,L2-3_IT_ENTl-PIR_Glut,high,0.94,OLFGL14,high,0.89,ITENTPIRGL1,high,0.93,Glut,high,1,GLUT,high,1
7-11-2,183,0.96,L2-3_IT_ENTl-PIR_Glut,high,0.82,OLFGL3,medium,0.43,ITENTPIRGL1,high,0.84,Glut,high,1,GLUT,high,1
7-11-5,91,0.85,VLMC_NN,low,0.25,ENTN2,low,0.25,LQ,low,0.26,Glut,medium,0.58,GLUT,medium,0.58
7-11-7,85,0.99,L5-6_IT_TPE-ENT_Glut,high,0.73,ITL6GL7,medium,0.61,ITL56GL,high,0.73,Glut,high,1,GLUT,high,1
7-11-3,128,0.98,L5-6_IT_TPE-ENT_Glut,high,0.85,ITL6GL6,high,0.82,ITL56GL,high,0.91,Glut,high,1,GLUT,high,1
7-11-1,210,0.95,L2-3_IT_ENTl-PIR_Glut,high,0.78,OLFGL3,high,0.7,ITENTPIRGL1,high,0.79,Glut,high,1,GLUT,high,1
7-11-4,121,0.99,LA-BLA-BMA-PA_Glut,low,0.3,OLFGL11,low,0.3,ITENTPIRGL1,medium,0.51,Glut,high,1,GLUT,high,1
7-11-6,96,0.97,L2-3_IT_ENT_Glut,high,0.96,ENTGL1,high,0.93,RHPGL,high,0.96,Glut,high,1,GLUT,high,1
7-11-8,67,0.99,COAp_Grxcr2_Glut,high,0.94,COApGL1,high,0.94,CA3GL,high,0.96,Glut,high,0.99,GLUT,high,0.99
7-12-2,183,0.91,IT_AON-TT-DP_Glut,high,0.97,OBGL2,high,0.95,ITENTPIRGL1,high,0.97,Glut,high,0.98,GLUT,high,0.98
7-12-1,339,0.95,IT_AON-TT-DP_Glut,high,0.99,OBGL2,high,0.99,ITENTPIRGL1,high,1,Glut,high,1,GLUT,high,1
7-13-1,207,0.93,LA-BLA-BMA-PA_Glut,high,0.99,LBBPGL2,high,0.98,AMYGL,high,0.98,Glut,high,1,GLUT,high,1
7-13-3,85,0.92,LA-BLA-BMA-PA_Glut,high,1,LBBPGL2,high,0.98,AMYGL,high,0.98,Glut,high,1,GLUT,high,1
7-13-2,96,0.94,LA-BLA-BMA-PA_Glut,high,1,LBBPGL2,high,1,AMYGL,high,1,Glut,high,1,GLUT,high,1
7-2-1,9472,0.89,L2-3_IT_ENTl-PIR_Glut,high,0.85,OLFGL4,low,0.39,ITENTPIRGL1,high,0.88,Glut,high,1,GLUT,high,1
7-2-2,7831,0.9,L2-3_IT_ENTl-PIR_Glut,high,0.88,OLFGL3,medium,0.61,ITENTPIRGL1,high,0.9,Glut,high,1,GLUT,high,1
7-3-1,7646,0.96,L2-3_IT_ENTl-PIR_Glut,high,1,PIRGL1,high,1,ITENTPIRGL2,high,1,Glut,high,1,GLUT,high,1
7-3-2,6020,0.92,L2-3_IT_ENTl-PIR_Glut,high,1,PIRGL1,high,0.95,ITENTPIRGL2,high,0.95,Glut,high,1,GLUT,high,1
7-4-3,1954,0.94,IT_AON-TT-DP_Glut,high,0.86,OLFGL5,high,0.84,ITENTPIRGL1,high,1,Glut,high,1,GLUT,high,1
7-4-7,494,0.94,L2-3_IT_ENTl-PIR_Glut,high,0.88,OLFGL14,high,0.82,ITENTPIRGL1,high,0.93,Glut,high,1,GLUT,high,1
7-4-6,1145,0.95,IT_AON-TT-DP_Glut,high,0.86,OLFGL5,high,0.85,ITENTPIRGL1,high,0.99,Glut,high,1,GLUT,high,1
7-4-2,2263,0.94,L2-3_IT_ENTl-PIR_Glut,high,0.93,OLFGL9,high,0.89,ITENTPIRGL1,high,0.96,Glut,high,1,GLUT,high,1
7-4-5,1374,0.93,IT_AON-TT-DP_Glut,high,0.97,OLFGL5,high,0.89,ITENTPIRGL1,high,0.98,Glut,high,1,GLUT,high,1
7-4-4,1611,0.91,IT_AON-TT-DP_Glut,high,0.96,OBGL1,high,0.9,ITENTPIRGL1,high,0.98,Glut,high,1,GLUT,high,1
7-4-1,3363,0.94,IT_AON-TT-DP_Glut,high,0.98,OBGL1,high,0.92,ITENTPIRGL1,high,1,Glut,high,1,GLUT,high,1
7-4-8,455,0.88,L5_ET_CTX_Glut,high,0.87,PTGL7,high,0.86,ETL5GL,high,0.87,Glut,high,1,GLUT,high,1
7-4-9,401,0.95,IT_AON-TT-DP_Glut,high,0.97,OBGL3,high,0.95,ITENTPIRGL1,high,0.99,Glut,high,1,GLUT,high,1
7-5-4,1699,0.93,L2-3_IT_ENTl-PIR_Glut,high,1,OLFGL12,high,0.99,ITENTPIRGL1,high,0.99,Glut,high,1,GLUT,high,1
7-5-1,3315,0.96,L2-3_IT_ENTl-PIR_Glut,high,1,OLFGL7,high,0.89,ITENTPIRGL1,high,0.99,Glut,high,1,GLUT,high,1
7-5-5,863,0.95,L2-3_IT_ENTl-PIR_Glut,high,0.98,OLFGL7,high,0.82,ITENTPIRGL1,high,0.99,Glut,high,1,GLUT,high,1
7-5-3,1969,0.88,L2-3_IT_ENTl-PIR_Glut,high,0.93,OLFGL10,high,0.83,ITENTPIRGL1,high,0.94,Glut,high,1,GLUT,high,1
7-5-2,2153,0.92,L2-3_IT_ENTl-PIR_Glut,high,1,OLFGL6,high,0.82,ITENTPIRGL1,high,0.89,Glut,high,1,GLUT,high,1
7-6-2,2344,0.91,LA-BLA-BMA-PA_Glut,high,0.97,LBBPGL1,high,0.97,RHPGL,high,0.97,Glut,high,1,GLUT,high,1
7-6-1,1998,0.77,LA-BLA-BMA-PA_Glut,high,0.94,LBBPGL1,high,0.93,RHPGL,high,0.93,Glut,high,1,GLUT,high,1
7-6-4,831,0.94,COAp-TR-ENTmv_Glut,high,0.92,CA3GL3,high,0.92,CA3GL,high,0.93,Glut,high,1,GLUT,high,1
7-6-3,2218,0.88,LA-BLA-BMA-PA_Glut,high,0.84,OLFGL11,high,0.76,ITENTPIRGL1,high,0.9,Glut,high,1,GLUT,high,1
7-7-2,1613,0.89,L2-3_IT_ENT_Glut,high,0.99,ENTGL5,high,0.98,RHPGL,high,1,Glut,high,1,GLUT,high,1
7-7-1,3553,0.89,L2-3_IT_ENT_Glut,high,0.9,ENTGL1,high,0.89,RHPGL,high,0.91,Glut,high,1,GLUT,high,1
7-8-1,2671,0.86,L2-3_IT_ENTl-PIR_Glut,high,0.98,ENTGL2,high,0.87,RHPGL,high,0.88,Glut,high,1,GLUT,high,1
7-8-2,551,0.81,L2_IT_ENT-po_Glut,high,0.96,ENTGL7,high,0.96,RHPGL,high,1,Glut,high,1,GLUT,high,1
7-9-1,1113,0.84,MEA_Slc17a7_Glut,high,0.86,CA3GL5,high,0.86,CA3GL,high,0.87,Glut,high,1,GLUT,high,1
7-9-4,416,0.97,COAp_Grxcr2_Glut,medium,0.68,COApGL1,medium,0.68,CA3GL,high,0.97,Glut,high,1,GLUT,high,1
7-9-2,1064,0.94,COAp_Grxcr2_Glut,high,0.93,COApGL1,high,0.93,CA3GL,high,0.93,Glut,high,1,GLUT,high,1
7-9-3,382,0.88,LA-BLA-BMA-PA_Glut,medium,0.43,OLFGL11,low,0.34,ITENTPIRGL1,medium,0.57,Glut,high,1,GLUT,high,1
8-1-1,12527,0.95,L6_CT_CTX_Glut,high,1,CTGL1,high,0.87,CTL6GL,high,1,Glut,high,1,GLUT,high,1
8-1-2,8428,0.94,L6_CT_CTX_Glut,high,1,CTGL1,medium,0.52,CTL6GL,high,1,Glut,high,1,GLUT,high,1
8-10-2,551,0.96,L6_CT_CTX_Glut,high,0.99,CTGL11,high,0.91,CTL6GL,high,0.99,Glut,high,1,GLUT,high,1
8-10-1,582,0.93,L6_CT_CTX_Glut,high,0.99,CTGL11,high,0.98,CTL6GL,high,0.99,Glut,high,1,GLUT,high,1
8-2-1,13400,0.94,L6_CT_CTX_Glut,high,0.99,CTGL3,medium,0.46,CTL6GL,high,0.99,Glut,high,0.99,GLUT,high,1
8-2-2,3081,0.86,L6_CT_CTX_Glut,high,1,CTGL3,high,0.72,CTL6GL,high,1,Glut,high,1,GLUT,high,1
8-3-2,5685,0.96,L6_CT_CTX_Glut,high,1,CTGL5,medium,0.45,CTL6GL,high,1,Glut,high,1,GLUT,high,1
8-3-1,9952,0.95,L6_CT_CTX_Glut,high,1,CTGL6,medium,0.47,CTL6GL,high,1,Glut,high,1,GLUT,high,1
8-4-2,1607,0.95,L6_CT_CTX_Glut,high,0.78,CTGL4,medium,0.67,CTL6GL,high,0.78,Glut,high,1,GLUT,high,1
8-4-1,8262,0.95,L6_CT_CTX_Glut,high,1,CTGL2,high,0.8,CTL6GL,high,1,Glut,high,1,GLUT,high,1
8-4-3,163,0.95,L6_CT_CTX_Glut,high,0.99,CTGL2,medium,0.62,CTL6GL,high,0.99,Glut,high,1,GLUT,high,1
8-5-2,2099,0.94,L6b_CTX_Glut,high,0.97,L6bCTXGL2,high,0.79,L6bGL,high,0.99,Glut,high,1,GLUT,high,1
8-5-1,2100,0.9,L6b_CTX_Glut,high,0.94,L6bCTXGL3,high,0.84,L6bGL,high,1,Glut,high,1,GLUT,high,1
8-5-7,375,0.88,L6b_CTX_Glut,high,0.99,L6bCTXGL5,high,0.97,L6bGL,high,0.99,Glut,high,1,GLUT,high,1
8-5-5,872,0.91,L6b_EPd_Glut,high,0.96,L6bEPdGL2,high,0.94,L6bGL,high,1,Glut,high,1,GLUT,high,1
8-5-3,1336,0.88,L6b_EPd_Glut,high,0.93,L6bEPdGL1,high,0.91,L6bGL,high,1,Glut,high,1,GLUT,high,1
8-5-4,940,0.84,L6b_CTX_Glut,high,0.93,L6bCTXGL4,high,0.7,L6bGL,high,1,Glut,high,1,GLUT,high,1
8-5-6,534,0.89,L6b-CT_ENT_Glut,high,0.97,L6bENTGL3,high,0.97,L6bGL,high,1,Glut,high,1,GLUT,high,1
8-6-3,1667,0.92,L6b_CTX_Glut,high,0.81,L6bCTXGL1,high,0.76,L6bGL,high,0.88,Glut,high,1,GLUT,high,1
8-6-1,3325,0.93,L6_CT_CTX_Glut,high,0.91,CTGL7,high,0.84,CTL6GL,high,0.91,Glut,high,1,GLUT,high,1
8-6-2,2438,0.89,L6_CT_CTX_Glut,medium,0.7,CTGL7,medium,0.67,CTL6GL,medium,0.7,Glut,high,1,GLUT,high,1
8-7-1,7166,0.95,L6_CT_CTX_Glut,high,0.99,CTGL4,high,0.91,CTL6GL,high,0.99,Glut,high,1,GLUT,high,1
8-8-1,3057,0.93,L6b-CT_ENT_Glut,high,0.82,L6bENTGL1,high,0.72,L6bGL,high,1,Glut,high,1,GLUT,high,1
8-8-2,1683,0.91,L6b-CT_ENT_Glut,high,0.95,L6bENTGL2,high,0.92,L6bGL,high,0.95,Glut,high,1,GLUT,high,1
8-8-3,183,0.97,L6b-CT_ENT_Glut,high,0.77,L6bENTGL1,medium,0.57,L6bGL,high,0.95,Glut,high,0.99,GLUT,high,1
8-9-1,1573,0.96,L6_CT_CTX_Glut,high,0.99,CTGL2,high,0.98,CTL6GL,high,0.99,Glut,high,1,GLUT,high,1
8-9-2,906,0.9,L6_CT_CTX_Glut,high,0.88,CTGL2,high,0.84,CTL6GL,high,0.88,Glut,high,1,GLUT,high,1
9-1-1,56081,0.97,OPC_NN,high,1,OPC1,high,0.96,OPC,high,1,NN,high,1,NN,high,1
9-1-3,12943,0.96,OPC_NN,high,0.99,OPC1,high,0.98,OPC,high,0.99,NN,high,1,NN,high,1
9-1-4,929,0.97,OPC_NN,high,1,OPC1,high,0.96,OPC,high,1,NN,high,1,NN,high,1
9-1-2,20553,0.96,OPC_NN,high,1,OPC2,high,0.79,OPC,high,1,NN,high,1,NN,high,1
9-2-2,183,0.52,OPC_NN,medium,0.59,OPC3,medium,0.41,OPC,medium,0.59,NN,high,1,NN,high,1
9-2-3,172,0.68,OPC_NN,high,0.99,OPC1,medium,0.49,OPC,high,0.99,NN,high,1,NN,high,1
9-2-1,245,0.53,OPC_NN,high,0.87,OPC1,medium,0.61,OPC,high,0.87,NN,high,1,NN,high,1
9-3-2,135,0.49,Astro-TE_NN,high,0.76,ASCTE1,high,0.71,ASCTE1,high,0.71,NN,high,1,NN,high,1
9-3-3,75,0.46,OPC_NN,medium,0.64,OPC1,medium,0.64,OPC,medium,0.64,NN,high,1,NN,high,1
9-3-1,187,0.61,OPC_NN,high,0.71,OPC1,medium,0.66,OPC,high,0.71,NN,high,1,NN,high,1
9-4-1,163,0.42,OPC_NN,high,0.85,OPC1,high,0.83,OPC,high,0.85,NN,high,1,NN,high,1
9-4-2,255,0.76,OPC_NN,high,0.98,OPC1,high,0.88,OPC,high,0.98,NN,high,1,NN,high,1
9-5-1,524,0.96,OPC_NN,high,0.97,ENTN5,high,0.79,LQ,high,0.79,NN,high,1,NN,high,1
9-6-1,18,0.14,Oligo_NN,medium,0.44,OPC1,low,0.33,OPC,low,0.33,NN,high,0.94,NN,high,0.94
9-6-2,2,0.017,Astro-NT_NN,medium,0.5,ASCNT11,medium,0.5,ASCTENT,medium,0.5,NN,high,1,NN,high,1
9-6-3,4,0.066,Astro-NT_NN,high,0.75,ASCNT11,medium,0.5,ASCTENT,high,0.75,NN,high,1,NN,high,1
