001_CLA-EPd-CTX_Car3_Glut,13651
002_IT_EP-CLA_Glut,7242
003_L5/6_IT_TPE-ENT_Glut,11865
004_L6_IT_CTX_Glut,35490
005_L5_IT_CTX_Glut,33472
006_L4/5_IT_CTX_Glut,123509
007_L2/3_IT_CTX_Glut,118570
008_L2/3_IT_ENT_Glut,12856
009_L2/3_IT_PIR-ENTl_Glut,67329
010_IT_AON-TT-DP_Glut,8365
011_L2_IT_ENT-po_Glut,2591
012_MEA_Slc17a7_Glut,2871
013_COAp_Grxcr2_Glut,1254
014_LA-BLA-BMA-PA_Glut,8912
015_ENTmv-PA-COAp_Glut,671
016_CA1-ProS_Glut,19646
017_CA3_Glut,11966
018_L2_IT_PPP-APr_Glut,1090
019_L2/3_IT_PPP_Glut,4136
020_L2/3_IT_RSP_Glut,23981
021_L4_RSP-ACA_Glut,2902
022_L5_ET_CTX_Glut,22039
023_SUB-ProS_Glut,2288
024_L5_PPP_Glut,143
025_CA2-FC-IG_Glut,2581
026_NLOT_Rho_Glut,416
027_L6b_EPd_Glut,3595
028_L6b/CT_ENT_Glut,7405
029_L6b_CTX_Glut,9917
030_L6_CT_CTX_Glut,79525
031_CT_SUB_Glut,1011
032_L5_NP_CTX_Glut,16262
033_NP_SUB_Glut,1480
034_NP_PPP_Glut,203
035_OB_Eomes_Ms4a15_Glut,734
036_HPF_CR_Glut,5421
037_DG_Glut,61697
038_DG-PIR_Ex_IMN,499
039_OB_Meis2_Thsd7b_Gaba,1735
040_OB_Trdn_Gaba,1212
041_OB-in_Frmd7_Gaba,9741
042_OB-out_Frmd7_Gaba,6925
043_OB-mi_Frmd7_Gaba,121
044_OB_Dopa-Gaba,652
045_OB-STR-CTX_Inh_IMN,1104
046_Vip_Gaba,17002
047_Sncg_Gaba,4592
048_RHP-COA_Ndnf_Gaba,1500
049_Lamp5_Gaba,15394
050_Lamp5_Lhx6_Gaba,2547
051_Pvalb_chandelier_Gaba,1864
052_Pvalb_Gaba,35707
053_Sst_Gaba,26981
054_STR_Prox1_Lhx6_Gaba,1771
055_STR_Lhx8_Gaba,1291
056_Sst_Chodl_Gaba,2578
057_NDB-SI-MA-STRv_Lhx8_Gaba,7351
058_PAL-STR_Gaba-Chol,1839
059_GPe-SI_Sox6_Cyp26b1_Gaba,806
060_OT_D3_Folh1_Gaba,7497
061_STR_D1_Gaba,14621
062_STR_D2_Gaba,51717
063_STR_D1_Sema5a_Gaba,7738
064_STR-PAL_Chst9_Gaba,11259
065_IA_Mgp_Gaba,1371
066_NDB-SI-ant_Prdm12_Gaba,1751
067_LSX_Sall3_Pax6_Gaba,1521
068_LSX_Otx2_Gaba,2724
069_LSX_Nkx2-1_Gaba,5184
070_LSX_Prdm12_Slit2_Gaba,7635
071_LSX_Prdm12_Zeb2_Gaba,5523
072_LSX_Sall3_Lmo1_Gaba,3664
073_MEA-BST_Sox6_Gaba,1226
074_MEA-BST_Lhx6_Sp9_Gaba,1440
075_MEA-BST_Lhx6_Nr2e1_Gaba,1168
076_MEA-BST_Lhx6_Nfib_Gaba,3266
078_SI-MA-ACB_Ebf1_Bnc2_Gaba,520
079_CEA-BST_Six3_Cyp26b1_Gaba,2508
080_CEA-AAA-BST_Six3_Sp9_Gaba,1957
081_ACB-BST-FS_D1_Gaba,1619
082_CEA-BST_Ebf1_Pdyn_Gaba,2985
083_CEA-BST_Rai14_Pdyn_Crh_Gaba,470
084_BST-SI-AAA_Six3_Slc22a3_Gaba,405
085_SI-MPO-LPO_Lhx8_Gaba,1328
086_MPO-ADP_Lhx8_Gaba,2804
088_BST_Tac2_Gaba,6221
089_PVR_Six3_Sox3_Gaba,1804
090_BST-MPN_Six3_Nrgn_Gaba,2218
091_ARH-PVi_Six6_Dopa-Gaba,1815
092_TMv-PMv_Tbx3_Hist-Gaba,107
093_RT-ZI_Gnb3_Gaba,8702
094_SCH_Six6_Cdc14a_Gaba,1664
095_DMH_Prdm13_Gaba,845
097_PVHd-SBPV_Six3_Prox1_Gaba,162
098_AHN-SBPV-PVHd_Pdrm12_Gaba,1440
099_SBPV-PVa_Six6_Satb2_Gaba,901
100_AHN_Onecut3_Gaba,2515
101_ZI_Pax6_Gaba,3860
102_DMH-LHA_Gsx1_Gaba,1979
104_TU-ARH_Otp_Six6_Gaba,2086
106_PVpo-VMPO-MPN_Hmx2_Gaba,3515
109_LGv-ZI_Otx2_Gaba,7198
110_BST-po_Iigp1_Glut,443
111_TRS-BAC_Sln_Glut,3772
112_GPi_Tbr1_Cngb3_Gaba-Glut,202
113_MEA-COA-BMA_Ccdc42_Glut,3157
114_COAa-PAA-MEA_Barhl2_Glut,3823
115_MS-SF_Bsx_Glut,1365
116_AVPV-MEPO-SFO_Tbr1_Glut,341
117_LHA_Barhl2_Glut,1388
118_ADP-MPO_Trp73_Glut,646
119_SI-MA-LPO-LHA_Skor1_Glut,3079
120_MEA_Otp_Foxp2_Glut,417
121_MEA-BST_Otp_Zic2_Glut,476
122_LHA-MEA_Otp_Glut,237
124_MPN-MPO-PVpo_Hmx2_Glut,1366
126_ARH-PVp_Tbx3_Glut,1344
127_DMH-LHA_Vgll2_Glut,394
128_VMH_Fezf1_Glut,1050
129_VMH_Nr5a1_Glut,3246
130_LHA_Pmch_Glut,297
131_LHA-AHN-PVH_Otp_Trh_Glut,2049
132_AHN-RCH-LHA_Otp_Fezf1_Glut,1840
133_PVH-SO-PVa_Otp_Glut,1580
134_PH-ant-LHA_Otp_Bsx_Glut,1563
135_STN-PSTN_Pitx2_Glut,2082
136_PMv-TMv_Pitx2_Glut,129
137_PH-an_Pitx2_Glut,835
138_PH_Pitx2_Glut,678
139_PH-LHA_Foxb1_Glut,2159
141_PH-SUM_Foxa1_Glut,1292
142_HY_Gnrh1_Glut,179
145_MH_Tac2_Glut,3478
146_LH_Pou4f1_Sox1_Glut,973
147_AD_Serpinb7_Glut,2014
148_AV_Col27a1_Glut,951
149_PVT-PT_Ntrk1_Glut,4257
150_CM-IAD-CL-PCN_Sema5b_Glut,2029
151_TH_Prkcd_Grin2c_Glut,18723
152_RE-Xi_Nox4_Glut,3187
153_MG-POL-SGN_Nts_Glut,414
154_PF_Fzd5_Glut,2159
155_PRC-PAG_Pax6_Glut,276
156_MB-ant-ve_Dmrta2_Glut,811
157_RN_Spp1_Glut,2715
159_IF-RL-CLI-PAG_Foxa1_Glut,503
160_PAG-SC_Neurod2_Meis2_Glut,1455
161_PAG_Pou4f3_Glut,1799
163_APN_C1ql2_Glut,985
164_APN_C1ql4_Glut,1200
165_PAG-MRN_Pou3f1_Glut,1536
166_MRN_Pou3f1_C1ql4_Glut,283
167_PRC-PAG_Tcf7l2_Irx2_Glut,1495
168_SPA-SPFm-SPFp-POL-PIL-PoT_Sp9_Glut,4859
169_PAG-SC_Pou4f1_Zic1_Glut,2728
170_PAG-MRN_Tfap2b_Glut,1275
171_PAG_Pou4f1_Bnc2_Glut,961
172_PAG_Pou4f1_Ebf2_Glut,2711
173_PAG_Pou4f2_Glut,3164
174_PAG_Pou4f2_Mesi2_Glut,1753
175_SC_Bnc2_Glut,1528
176_SCig_Foxb1_Glut,3506
177_SCig-an-PPT_Foxb1_Glut,1680
178_SCig_Foxb1_Otx2_Glut,271
179_SCdg-PAG_Tfap2b_Glut,943
180_SCiw_Pitx2_Glut,2043
181_IC_Tfap2d_Maf_Glut,11872
182_CUN-PPN_Evx2_Meis2_Glut,609
183_PBG_Mtnr1a_Glut-Chol,243
185_SCig_Tfap2b_Chrnb3_Glut,873
186_SCop_Pou4f2_Neurod2_Glut,423
187_SCsg_Pde5a_Glut,3233
188_SCop_Sln_Glut,635
189_PAG_Ucn_Glut,145
190_ND-INC_Foxd2_Glut,785
192_PPN-CUN-PCG_Otp_En1_Gaba,940
194_MRN-VTN-PPN_Pax5_Cdh23_Gaba,557
195_SNr-VTA_Pax5_Npas1_Gaba,1079
197_SNr_Six3_Gaba,968
198_IC_Six3_En2_Gaba,2520
199_PAG-MRN-RN_Foxa2_Gaba,1288
200_PAG-ND-PCG_Onecut1_Gaba,2005
201_PAG-RN_Nkx2-2_Otx1_Gaba,2208
202_PRT_Tcf7l2_Gaba,2315
203_LGv-SPFp-SPFm_Nkx2-2_Tcf7l2_Gaba,1405
204_SC_Otx2_Gcnt4_Gaba,583
205_SC-PAG_Lef1_Emx2_Gaba,3078
206_SCm-PAG_Cdh23_Gaba,3135
207_SCs_Dmbx1_Gaba,4796
208_SC_Lef1_Otx2_Gaba,1425
209_SCs_Pax7_Nfia_Gaba,3097
210_PRT_Mecom_Gaba,968
211_SC_Tnnt1_Gli3_Gaba,1211
212_SCs_Lef1_Gli3_Gaba,1660
213_SCsg_Gabrr2_Gaba,3175
214_IPN_Otp_Crisp1_Gaba,353
215_SNc-VTA-RAmb_Foxa1_Dopa,2816
216_MB-MY_Tph2_Glut-Sero,1731
217_PB_Lmx1a_Glut,904
221_LDT-PCG_Vsx2_Lhx4_Glut,1525
222_PB_Evx2_Glut,3194
224_PCG-PRNr_Vsx2_Nkx6-1_Glut,2744
228_PSV_Pvalb_Lhx2_Glut,1878
231_IPN-LDT_Vsx2_Nkx6-1_Glut,1960
233_NLL-SOC_Spp1_Glut,190
235_PG-TRN-LRN_Fat2_Glut,6907
238_NTS_Phox2b_Glut,2351
239_MARN-GRN_Pyy_Glut,883
241_NTS_Mbnl3_Glut,341
243_PGRN-PARN-MDRN_Hoxb5_Glut,547
245_SPVI-SPVC_Tlx3_Ebf3_Glut,613
246_CU-ECU-SPVI_Foxb1_Glut,950
248_MV-SPIV_Zic4_Neurod2_Glut,706
250_CBN_Neurod2_Pvalb_Glut,173
251_NTS_Dbh_Glut,103
252_DMX_VII_Tbx20_Chol,104
253_IO_Fgl2_Glut,536
254_VCO_Mafa_Meis2_Glut,332
255_SPVO_Mafa_Meis2_Glut,220
261_HB_Calcb_Chol,298
262_Pineal_Crx_Glut,359
263_CS-RPO_Meis2_Gaba,957
264_PRNc_Otp_Gly-Gaba,1895
265_PB_Sst_Gly-Gaba,332
268_CS-PRNr-DR_En1_Sox2_Gaba,1466
270_LDT-DTN_Gata3_Nfix_Gaba,287
271_NI-RPO_Gata3_Nr4a2_Gaba,1071
272_LDT-PCG-CS_Gata3_Lhx1_Gaba,325
273_PDTg-PCG_Pax6_Gaba,526
277_DTN-LDT-IPN_Otp_Pax3_Gaba,2501
278_NLL_Gata3_Gly-Gaba,1330
281_POR_Gata3_Gly-Gaba,245
282_POR_Spp1_Gly-Gaba,279
283_PRP_Otp_Gly-Gaba,897
285_MY_Lhx1_Gly-Gaba,3213
286_PPY-PGRNl_Vip_Glyc-Gaba,781
287_MV-SPIV-PRP_Dmbx1_Gly-Gaba,203
290_MY_Prox1_Lmo7_Gly-Gaba,620
291_NTS-MDRNd_Prox1_Zic1_Gly-Gaba,284
293_PAS-MV_Ebf2_Gly-Gaba,889
295_CBN_Dmbx1_Gaba,182
296_RPA_Pax6_Hoxb5_Gly-Gaba,656
298_PRP_Gata3_Slc6a5_Gly-Gaba,170
300_PARN-MDRNd-NTS_Gbx2_Gly-Gaba,804
302_MV_Xdh_Gly-Gaba,186
304_NTS-PARN_Neurod2_Gly-Gaba,893
305_SPVI-SPVC_Sall3_Nfib_Gly-Gaba,307
306_SPVI-SPVC_Sall3_Lhx1_Gly-Gaba,584
308_DCO_Il22_Gly-Gaba,263
309_CB_PLI_Gly-Gaba,460
311_CBX_MLI_Megf11_Gaba,4236
312_CBX_MLI_Cdh22_Gaba,180
313_CBX_Purkinje_Gaba,308
314_CB_Granule_Glut,97227
315_DCO_UBC_Glut,636
316_Bergmann_NN,1659
317_Astro-CB_NN,912
318_Astro-NT_NN,103133
319_Astro-TE_NN,175820
320_Astro-OLF_NN,117
321_Astroependymal_NN,1288
322_Tanycyte_NN,1763
323_Ependymal_NN,3183
324_Hypendymal_NN,92
325_CHOR_NN,1032
326_OPC_NN,94016
327_Oligo_NN,414185
328_OEC_NN,303
329_ABC_NN,13843
330_VLMC_NN,36182
331_Peri_NN,2610
332_SMC_NN,8683
333_Endo_NN,6500
334_Microglia_NN,89304
335_BAM_NN,4055
337_DC_NN,218
338_Lymphoid_NN,477
