r,r_s
CLA-EPd-CTX_Car3_Glut,Telencephalon,0.999937272613222
IT_EP-CLA_Glut,Telencephalon,0.995181137595733
L5-6_IT_TPE-ENT_Glut,Telencephalon,1
L6_IT_CTX_Glut,Telencephalon,0.998861047835991
L5_IT_CTX_Glut,Telencephalon,1
L4-5_IT_CTX_Glut,Telencephalon,1
L2-3_IT_CTX_Glut,Telencephalon,0.999981051454775
L2-3_IT_ENT_Glut,Telencephalon,1
L2-3_IT_PIR-ENTl_Glut,Telencephalon,0.996704223193071
IT_AON-TT-DP_Glut,Telencephalon,0.99541629095281
L2_IT_ENT-po_Glut,Telencephalon,1
MEA_Slc17a7_Glut,Telencephalon,0.992865816636308
COAp_Grxcr2_Glut,Telencephalon,1
LA-BLA-BMA-PA_Glut,Telencephalon,0.999924817682881
ENTmv-PA-COAp_Glut,Telencephalon,0.999999999999999
CA1-ProS_Glut,Telencephalon,0.995192845164896
CA3_Glut,Telencephalon,0.993262752646776
L2_IT_PPP-APr_Glut,Telencephalon,1
L2-3_IT_PPP_Glut,Telencephalon,0.999814068794546
L2-3_IT_RSP_Glut,Telencephalon,1
L4_RSP-ACA_Glut,Telencephalon,1
L5_ET_CTX_Glut,Telencephalon,0.999941124521637
SUB-ProS_Glut,Telencephalon,1
L5_PPP_Glut,Telencephalon,1
CA2-FC-IG_Glut,Telencephalon,0.990506329113924
NLOT_Rho_Glut,Telencephalon,1
L6b_EPd_Glut,Telencephalon,0.991991991991992
L6b-CT_ENT_Glut,Telencephalon,1
L6b_CTX_Glut,Telencephalon,0.996842878120411
L6_CT_CTX_Glut,Telencephalon,0.998549242514329
CT_SUB_Glut,Telencephalon,1
L5_NP_CTX_Glut,Telencephalon,0.999407395701643
NP_SUB_Glut,Telencephalon,1
NP_PPP_Glut,Telencephalon,1
OB_Eomes_Ms4a15_Glut,Telencephalon,0.995955510616785
HPF_CR_Glut,Telencephalon,0.828667413213885
DG_Glut,Telencephalon,0.999390265772389
DG-PIR_Ex_IMN,Telencephalon,0.986286919831224
OB_Meis2_Thsd7b_Gaba,Telencephalon,0.981380915438324
OB_Trdn_Gaba,Telencephalon,0.999542752629172
OB-in_Frmd7_Gaba,Telencephalon,0.999714192389352
OB-out_Frmd7_Gaba,Telencephalon,0.997495129418313
OB-mi_Frmd7_Gaba,Telencephalon,0.98371335504886
OB_Dopa-Gaba,Telencephalon,0.988786952089704
OB-STR-CTX_Inh_IMN,Telencephalon,0.99227981723649
Vip_Gaba,Telencephalon,0.988382789707467
Sncg_Gaba,Telencephalon,0.991720250154144
RHP-COA_Ndnf_Gaba,Telencephalon,0.971135343168699
Lamp5_Gaba,Telencephalon,0.985631019543061
Lamp5_Lhx6_Gaba,Telencephalon,0.987299604413908
Pvalb_chandelier_Gaba,Telencephalon,0.984706462752837
Pvalb_Gaba,Telencephalon,0.997552064303982
Sst_Gaba,Telencephalon,0.996261954463809
STR_Prox1_Lhx6_Gaba,Telencephalon,0.965461847389558
STR_Lhx8_Gaba,Telencephalon,0.83192261185006
Sst_Chodl_Gaba,Telencephalon,0.854947166186359
NDB-SI-MA-STRv_Lhx8_Gaba,Telencephalon,0.726484498160799
PAL-STR_Gaba-Chol,Telencephalon,0.856866537717601
GPe-SI_Sox6_Cyp26b1_Gaba,Telencephalon,0.875366568914956
OT_D3_Folh1_Gaba,Telencephalon,0.997745571658615
STR_D1_Gaba,Telencephalon,0.988079138492361
STR_D2_Gaba,Telencephalon,0.988996670044882
STR_D1_Sema5a_Gaba,Telencephalon,0.977710511832692
STR-PAL_Chst9_Gaba,Telencephalon,0.968176967109731
IA_Mgp_Gaba,Telencephalon,0.97667638483965
NDB-SI-ant_Prdm12_Gaba,Telencephalon,0.987850467289719
LSX_Sall3_Pax6_Gaba,Telencephalon,0.976234003656307
LSX_Otx2_Gaba,Telencephalon,0.979957805907173
LSX_Nkx2-1_Gaba,Telencephalon,0.990112606426806
LSX_Prdm12_Slit2_Gaba,Telencephalon,0.990886998784933
LSX_Prdm12_Zeb2_Gaba,Telencephalon,0.999666332999666
LSX_Sall3_Lmo1_Gaba,Telencephalon,1
MEA-BST_Sox6_Gaba,Telencephalon,0.930622732769045
MEA-BST_Lhx6_Sp9_Gaba,Telencephalon,0.862335986233598
MEA-BST_Lhx6_Nr2e1_Gaba,Telencephalon,0.984256559766764
MEA-BST_Lhx6_Nfib_Gaba,Telencephalon,0.663757575757576
CEA-BST_Gal_Avp_Gaba,Telencephalon,0.911764705882353
SI-MA-ACB_Ebf1_Bnc2_Gaba,Telencephalon,0.929362880886427
CEA-BST_Six3_Cyp26b1_Gaba,Telencephalon,0.996809189534142
CEA-AAA-BST_Six3_Sp9_Gaba,Telencephalon,0.969866071428572
ACB-BST-FS_D1_Gaba,Telencephalon,0.977379830348727
CEA-BST_Ebf1_Pdyn_Gaba,Telencephalon,0.988661627389951
CEA-BST_Rai14_Pdyn_Crh_Gaba,Telencephalon,0.975265017667844
BST-SI-AAA_Six3_Slc22a3_Gaba,Telencephalon,0.705009276437848
SI-MPO-LPO_Lhx8_Gaba,Diencephalon,0.639634801288937
MPO-ADP_Lhx8_Gaba,Diencephalon,0.655172413793103
MPN-MPO-LPO_Lhx6_Zfhx3_Gaba,Diencephalon,0.715814506539834
BST_Tac2_Gaba,Diencephalon,0.504297994269341
PVR_Six3_Sox3_Gaba,Diencephalon,0.867026055705301
BST-MPN_Six3_Nrgn_Gaba,Diencephalon,0.817666509211148
ARH-PVi_Six6_Dopa-Gaba,Diencephalon,0.997912317327766
TMv-PMv_Tbx3_Hist-Gaba,Diencephalon,1
RT-ZI_Gnb3_Gaba,Diencephalon,0.954749728808306
SCH_Six6_Cdc14a_Gaba,Diencephalon,0.999029126213592
DMH_Prdm13_Gaba,Diencephalon,0.998575498575499
PVHd_Gsc_Gaba,Diencephalon,0.982558139534883
PVHd-SBPV_Six3_Prox1_Gaba,Diencephalon,0.997307485191168
AHN-SBPV-PVHd_Pdrm12_Gaba,Diencephalon,0.998171475010158
SBPV-PVa_Six6_Satb2_Gaba,Diencephalon,0.998637137989778
AHN_Onecut3_Gaba,Diencephalon,0.9915
ZI_Pax6_Gaba,Diencephalon,0.979153094462541
DMH-LHA_Gsx1_Gaba,Diencephalon,0.994672980171648
PVHd-DMH_Lhx6_Gaba,Diencephalon,0.988771054273237
TU-ARH_Otp_Six6_Gaba,Diencephalon,0.999428408116605
TMd-DMH_Foxd2_Gaba,Diencephalon,1
PVpo-VMPO-MPN_Hmx2_Gaba,Diencephalon,0.974358974358974
DMH_Hmx2_Gaba,Diencephalon,0.99761083089992
ARH-PVp_Tbx3_Gaba,Diencephalon,0.997055359246172
LGv-ZI_Otx2_Gaba,Diencephalon,0.986490939044481
BST-po_Iigp1_Glut,Diencephalon,0.616666666666667
TRS-BAC_Sln_Glut,Telencephalon,0.948356807511737
GPi_Tbr1_Cngb3_Gaba-Glut,Telencephalon,0.568181818181818
MEA-COA-BMA_Ccdc42_Glut,Telencephalon,0.999156931229677
COAa-PAA-MEA_Barhl2_Glut,Telencephalon,0.991634842698673
MS-SF_Bsx_Glut,Telencephalon,0.620967741935484
AVPV-MEPO-SFO_Tbr1_Glut,Diencephalon,0.948500651890482
LHA_Barhl2_Glut,Diencephalon,0.854060913705584
ADP-MPO_Trp73_Glut,Diencephalon,0.701996927803379
SI-MA-LPO-LHA_Skor1_Glut,Telencephalon,0.674737893160259
MEA_Otp_Foxp2_Glut,Telencephalon,0.996202531645569
MEA-BST_Otp_Zic2_Glut,Telencephalon,0.927554980595084
LHA-MEA_Otp_Glut,Telencephalon,0.817610062893081
DMH_Nkx2-4_Glut,Diencephalon,0.999035214664737
MPN-MPO-PVpo_Hmx2_Glut,Diencephalon,0.976063829787234
DMH_Hmx2_Glut,Diencephalon,0.99922420480993
ARH-PVp_Tbx3_Glut,Diencephalon,0.998185117967332
DMH-LHA_Vgll2_Glut,Diencephalon,0.996316758747698
VMH_Fezf1_Glut,Diencephalon,0.999099099099099
VMH_Nr5a1_Glut,Diencephalon,0.999048344118767
LHA_Pmch_Glut,Diencephalon,0.997297297297297
LHA-AHN-PVH_Otp_Trh_Glut,Diencephalon,0.92
AHN-RCH-LHA_Otp_Fezf1_Glut,Diencephalon,0.986597170513775
PVH-SO-PVa_Otp_Glut,Diencephalon,0.972784525416104
PH-ant-LHA_Otp_Bsx_Glut,Diencephalon,0.997168742921857
STN-PSTN_Pitx2_Glut,Diencephalon,0.936582109479306
PMv-TMv_Pitx2_Glut,Diencephalon,0.998805970149254
PH-an_Pitx2_Glut,Diencephalon,0.998293515358362
PH_Pitx2_Glut,Diencephalon,0.92
PH-LHA_Foxb1_Glut,Diencephalon,0.933888888888889
PMd-LHA_Foxb1_Glut,Diencephalon,0.999185667752443
PH-SUM_Foxa1_Glut,Diencephalon,0.964723174914258
HY_Gnrh1_Glut,Diencephalon,0.627659574468085
MM-ant_Foxb1_Glut,Diencephalon,0.997494519260883
MM_Foxb1_Glut,Diencephalon,0.998441327098642
MH_Tac2_Glut,Diencephalon,0.994873341375151
LH_Pou4f1_Sox1_Glut,Diencephalon,0.993492407809111
AD_Serpinb7_Glut,Diencephalon,0.995238095238095
AV_Col27a1_Glut,Diencephalon,0.968814256339959
PVT-PT_Ntrk1_Glut,Diencephalon,0.999338514966099
CM-IAD-CL-PCN_Sema5b_Glut,Diencephalon,1
TH_Prkcd_Grin2c_Glut,Diencephalon,0.999185667752443
RE-Xi_Nox4_Glut,Diencephalon,1
MG-POL-SGN_Nts_Glut,Diencephalon,0.998831092928112
PF_Fzd5_Glut,Diencephalon,0.981735159817352
PRC-PAG_Pax6_Glut,Midbrain,0.875
MB-ant-ve_Dmrta2_Glut,Midbrain,0.691228070175439
RN_Spp1_Glut,Midbrain,0.96875
MRN-PAG_Nkx6-1_Glut,Midbrain,0.956204379562044
IF-RL-CLI-PAG_Foxa1_Glut,Midbrain,0.68384539147671
PAG-SC_Neurod2_Meis2_Glut,Midbrain,0.985903814262023
PAG_Pou4f3_Glut,Midbrain,0.998641304347826
CUN_Evx2_Lhx2_Glut,Midbrain,0.989440337909187
APN_C1ql2_Glut,Midbrain,0.629336579427876
APN_C1ql4_Glut,Midbrain,0.630171865054106
PAG-MRN_Pou3f1_Glut,Midbrain,0.990571967316153
MRN_Pou3f1_C1ql4_Glut,Midbrain,0.70096463022508
PRC-PAG_Tcf7l2_Irx2_Glut,Diencephalon,0.536182818451122
SPA-SPFm-SPFp-POL-PIL-PoT_Sp9_Glut,Diencephalon,0.912531969309462
PAG-SC_Pou4f1_Zic1_Glut,Midbrain,0.984028393966282
PAG-MRN_Tfap2b_Glut,Midbrain,0.962443946188341
PAG_Pou4f1_Bnc2_Glut,Midbrain,0.981632653061224
PAG_Pou4f1_Ebf2_Glut,Midbrain,0.9949252889766
PAG_Pou4f2_Glut,Midbrain,0.998157248157248
PAG_Pou4f2_Mesi2_Glut,Midbrain,1
SC_Bnc2_Glut,Midbrain,1
SCig_Foxb1_Glut,Midbrain,0.996192893401015
SCig-an-PPT_Foxb1_Glut,Midbrain,0.976056338028169
SCig_Foxb1_Otx2_Glut,Midbrain,1
SCdg-PAG_Tfap2b_Glut,Midbrain,0.99883855981417
SCiw_Pitx2_Glut,Midbrain,0.987777274784971
IC_Tfap2d_Maf_Glut,Midbrain,0.988688552474911
CUN-PPN_Evx2_Meis2_Glut,Midbrain,0.730519480519481
PBG_Mtnr1a_Glut-Chol,Hindbrain,0.666666666666667
PAG_Tcf24_Glut,Midbrain,0.916666666666667
SCig_Tfap2b_Chrnb3_Glut,Midbrain,0.994718309859155
SCop_Pou4f2_Neurod2_Glut,Midbrain,0.997536945812808
SCsg_Pde5a_Glut,Midbrain,0.999327052489906
SCop_Sln_Glut,Midbrain,1
PAG_Ucn_Glut,Midbrain,0.909090909090909
ND-INC_Foxd2_Glut,Midbrain,0.817460317460317
PAG-MRN_Rln3_Gaba,Midbrain,0.902654867256637
PPN-CUN-PCG_Otp_En1_Gaba,Hindbrain,0.613496932515337
MRN-PPN-CUN_Pax8_Gaba,Midbrain,0.952380952380952
MRN-VTN-PPN_Pax5_Cdh23_Gaba,Midbrain,0.922310756972112
SNr-VTA_Pax5_Npas1_Gaba,Midbrain,0.984848484848485
PAG-PPN_Pax5_Sox21_Gaba,Midbrain,0.986951364175563
SNr_Six3_Gaba,Midbrain,0.994318181818182
IC_Six3_En2_Gaba,Midbrain,0.954757462686567
PAG-MRN-RN_Foxa2_Gaba,Midbrain,0.977011494252874
PAG-ND-PCG_Onecut1_Gaba,Midbrain,0.495192307692308
PAG-RN_Nkx2-2_Otx1_Gaba,Midbrain,0.990005878894768
PRT_Tcf7l2_Gaba,Midbrain,0.686468646864686
LGv-SPFp-SPFm_Nkx2-2_Tcf7l2_Gaba,Diencephalon,0.969658976930793
SC_Otx2_Gcnt4_Gaba,Midbrain,0.992110453648915
SC-PAG_Lef1_Emx2_Gaba,Midbrain,0.997467071935157
SCm-PAG_Cdh23_Gaba,Midbrain,0.995049504950495
SCs_Dmbx1_Gaba,Midbrain,0.993416239941478
SC_Lef1_Otx2_Gaba,Midbrain,0.99851411589896
SCs_Pax7_Nfia_Gaba,Midbrain,0.978902953586498
PRT_Mecom_Gaba,Midbrain,0.772309711286089
SC_Tnnt1_Gli3_Gaba,Midbrain,0.998657718120805
SCs_Lef1_Gli3_Gaba,Midbrain,0.998892580287929
SCsg_Gabrr2_Gaba,Midbrain,0.835949860046246
IPN_Otp_Crisp1_Gaba,Midbrain,0.974776240846216
SNc-VTA-RAmb_Foxa1_Dopa,Midbrain,0.956197112991538
MB-MY_Tph2_Glut-Sero,Midbrain,0.717518860016764
PB_Lmx1a_Glut,Hindbrain,0.967213114754098
PSV_Lmx1a_Trpv6_Glut,Hindbrain,0.815533980582524
PB-SUT_Tlx3_Lhx2_Glut,Hindbrain,0.971428571428571
PB_Pax5_Glut,Hindbrain,0.718861209964413
LDT-PCG_Vsx2_Lhx4_Glut,Hindbrain,0.551441932969602
PB_Evx2_Glut,Hindbrain,0.801202034211743
B-PB_Nr4a2_Glut,Hindbrain,0.993548387096774
PCG-PRNr_Vsx2_Nkx6-1_Glut,Hindbrain,0.734356552538371
PRNc-NI-SG-RPO_Vsx2_Nr4a2_Glut,Hindbrain,0.976545842217484
PRNc-PARN_Tlx1_Glut,Hindbrain,0.84070796460177
PB-PSV_Phox2b_Glut,Hindbrain,0.96875
PSV_Pvalb_Lhx2_Glut,Hindbrain,0.752941176470588
PB-NTS_Phox2b_Ebf3_Lmx1b_Glut,Hindbrain,0.98218262806236
PRNr_Otp_Nfib_Glut,Hindbrain,0.9125
IPN-LDT_Vsx2_Nkx6-1_Glut,Midbrain,0.982926829268293
LDT_Vsx2_Nkx6-1_Nfib_Glut,Midbrain,0.996694214876033
NLL-SOC_Spp1_Glut,Hindbrain,0.782608695652174
MEV_Ppp1r1c_Glut,Midbrain,0.666666666666667
PG-TRN-LRN_Fat2_Glut,Hindbrain,0.976324237560193
IRN_Vip_Glut,Hindbrain,1
PRP-NI-PRNc-GRN_Otp_Glut,Hindbrain,0.993087557603686
NTS_Phox2b_Glut,Hindbrain,0.992963940193492
MARN-GRN_Pyy_Glut,Hindbrain,1
MDRNv_Lhx4_Qrfprl_Glut,Hindbrain,1
NTS_Mbnl3_Glut,Hindbrain,1
PGRNd_Dmbx1_Glut,Hindbrain,1
PGRN-PARN-MDRN_Hoxb5_Glut,Hindbrain,0.935280641466209
MV-SPIV_Slc6a2_Glut,Hindbrain,1
SPVI-SPVC_Tlx3_Ebf3_Glut,Hindbrain,0.990147783251231
CU-ECU-SPVI_Foxb1_Glut,Hindbrain,0.973945409429281
MV-SPIV_Phox2b_Ebf3_Lbx1_Glut,Hindbrain,0.962199312714776
MV-SPIV_Zic4_Neurod2_Glut,Hindbrain,0.984063745019921
NTS_Aldh1a2_Glut,Hindbrain,1
CBN_Neurod2_Pvalb_Glut,Cerebellum,0.850980392156863
NTS_Dbh_Glut,Hindbrain,0.995114006514658
DMX_VII_Tbx20_Chol,Hindbrain,0.813333333333333
IO_Fgl2_Glut,Hindbrain,1
VCO_Mafa_Meis2_Glut,Hindbrain,0.845901639344262
SPVO_Mafa_Meis2_Glut,Hindbrain,0.945205479452055
SPVC_Mafa_Glut,Hindbrain,1
SPVC_Ccdc172_Glut,Hindbrain,0.994897959183673
SPVC_Nmu_Glut,Hindbrain,1
MDRNd_Bves_Glut,Hindbrain,1
MDRNv_Crp_Glut,Hindbrain,1
HB_Calcb_Chol,Hindbrain,0.788135593220339
Pineal_Crx_Glut,Diencephalon,0.56
CS-RPO_Meis2_Gaba,Hindbrain,0.886247877758913
PRNc_Otp_Gly-Gaba,Hindbrain,0.969072164948454
PB_Sst_Gly-Gaba,Hindbrain,0.683333333333334
PRNc_Prox1_Brs3_Gly-Gaba,Hindbrain,0.891891891891892
CS-PRNr-PCG_Tmem163_Otp_Gaba,Hindbrain,0.783720930232558
CS-PRNr-DR_En1_Sox2_Gaba,Midbrain,0.623400365630713
LDT_Fgf7_Gaba,Midbrain,0.541284403669725
LDT-DTN_Gata3_Nfix_Gaba,Hindbrain,0.762124711316397
NI-RPO_Gata3_Nr4a2_Gaba,Hindbrain,0.927419354838709
LDT-PCG-CS_Gata3_Lhx1_Gaba,Hindbrain,0.675403225806452
PDTg-PCG_Pax6_Gaba,Hindbrain,0.828318584070797
PDTg_Otp_Shroom3_Gaba,Hindbrain,1
PDTg_Otp_Olig3_Gaba,Hindbrain,0.991323210412148
LDT-PCG_St18_Gaba,Hindbrain,0.742268041237113
DTN-LDT-IPN_Otp_Pax3_Gaba,Hindbrain,0.620641562064156
NLL_Gata3_Gly-Gaba,Hindbrain,0.953890489913545
PSV_Pax2_Gly-Gaba,Hindbrain,0.714285714285714
NLL-po_Pax7_Gaba,Hindbrain,0.928571428571429
POR_Gata3_Gly-Gaba,Midbrain,0.571428571428571
POR_Spp1_Gly-Gaba,Midbrain,0.85
PRP_Otp_Gly-Gaba,Hindbrain,0.995753715498938
GRN-IRN-MDRNd_Ikzf1_Gly-Gaba,Hindbrain,1
MY_Lhx1_Gly-Gaba,Hindbrain,0.841017488076312
PPY-PGRNl_Vip_Glyc-Gaba,Hindbrain,1
MV-SPIV-PRP_Dmbx1_Gly-Gaba,Hindbrain,0.977961432506887
MDRN_Hoxb5_Ebf2_Gly-Gaba,Hindbrain,1
MDRNd_Prox1_Pax6_Gly-Gaba,Hindbrain,0.990566037735849
MY_Prox1_Lmo7_Gly-Gaba,Hindbrain,0.994871794871795
NTS-MDRNd_Prox1_Zic1_Gly-Gaba,Hindbrain,1
MV_Nkx6-1_Gly-Gaba,Hindbrain,0.99815157116451
PAS-MV_Ebf2_Gly-Gaba,Hindbrain,0.991996233521657
MV_Pax6_Gly-Gaba,Hindbrain,0.985454545454546
CBN_Dmbx1_Gaba,Cerebellum,0.982939632545932
RPA_Pax6_Hoxb5_Gly-Gaba,Hindbrain,0.972789115646258
CU-ECU_Pax2_Gly-Gaba,Hindbrain,0.888888888888889
PRP_Gata3_Slc6a5_Gly-Gaba,Hindbrain,0.999999999999999
MARN-PPY_Ngfr_Gly-Gaba,Hindbrain,1
PARN-MDRNd-NTS_Gbx2_Gly-Gaba,Hindbrain,0.997407983411094
MV_Nr4a2_Gly-Gaba,Hindbrain,1
MV_Xdh_Gly-Gaba,Hindbrain,1
IRN_Dmbx1_Pax2_Gly-Gaba,Hindbrain,0.983870967741936
NTS-PARN_Neurod2_Gly-Gaba,Hindbrain,0.995919881305638
SPVI-SPVC_Sall3_Nfib_Gly-Gaba,Hindbrain,0.997071742313323
SPVI-SPVC_Sall3_Lhx1_Gly-Gaba,Hindbrain,0.99890590809628
RO-RPA_Pkd2l1_Gaba,Hindbrain,1
DCO_Il22_Gly-Gaba,Hindbrain,0.995090016366612
CB_PLI_Gly-Gaba,Cerebellum,0.940511307767945
CBX_Golgi_Gly-Gaba,Cerebellum,0.658536585365854
CBX_MLI_Megf11_Gaba,Cerebellum,0.961048627191532
CBX_MLI_Cdh22_Gaba,Cerebellum,0.965918712955123
CBX_Purkinje_Gaba,Cerebellum,0.545454545454545
CB_Granule_Glut,Cerebellum,0.863895562566938
DCO_UBC_Glut,Hindbrain,0.889870002452784
Bergmann_NN,Cerebellum,0.996415770609319
Astro-CB_NN,Cerebellum,0.996519721577726
Astro-NT_NN,Midbrain,0.344046147507211
Astro-TE_NN,Telencephalon,0.850995319663399
Astro-OLF_NN,Telencephalon,0.994468346650277
Astroependymal_NN,Midbrain,0.412068965517241
Tanycyte_NN,Diencephalon,0.954887218045113
Ependymal_NN,Midbrain,0.416292134831461
Hypendymal_NN,Midbrain,0.689655172413793
CHOR_NN,Telencephalon,0.384083044982699
OPC_NN,Telencephalon,0.313022812201948
Oligo_NN,Midbrain,0.188810967904979
OEC_NN,Telencephalon,0.998751560549314
ABC_NN,Telencephalon,0.81860465116279
VLMC_NN,Telencephalon,0.501857201815931
Peri_NN,Telencephalon,0.366148130949617
SMC_NN,Telencephalon,0.485046362805276
Endo_NN,Telencephalon,0.415468009731529
Microglia_NN,Telencephalon,0.66481257034023
BAM_NN,Telencephalon,0.656328320802005
Monocytes_NN,Telencephalon,0.571428571428572
DC_NN,Telencephalon,0.598802395209581
Lymphoid_NN,Telencephalon,0.574660633484162
